Airfoil: 7037B
Builder: D. Thompson
Comment: clean
1.127   0.0182     5.78
1.213   0.0235     7.31
1.267   0.0308     8.83
1.318   0.0411    10.33
299100
11
-0.011   0.0198    -5.97
0.117   0.0141    -4.52
0.273   0.0107    -2.93
0.450   0.0094    -1.37
0.605   0.0087     0.15
0.777   0.0092     1.70
0.930   0.0106     3.19
1.048   0.0148     4.77
1.150   0.0187     6.32
1.226   0.0244     7.87
1.280   0.0316     9.32
Airfoil: 7075BT2
Builder: J. Robertson
Comment: Zig-Zag trip type "D" @ x/c = 68% (h/c = 0.25%)
4
59900
11
-0.379   0.0333    -5.21
-0.269   0.0251    -3.69
-0.147   0.0163    -2.18
0.094   0.0189     0.32
0.181   0.0229     0.91
0.416   0.0301     2.46
0.623   0.0235     4.01
0.779   0.0201     5.56
0.906   0.0245     7.08
0.991   0.0324     8.61
1.048   0.0513    10.11
100100
11
-0.257   0.0296    -5.16
-0.097   0.0204    -3.64
0.032   0.0159    -2.17
0.152   0.0148    -0.60
0.355   0.0162     0.93
0.517   0.0173     2.48
0.660   0.0163     4.02
0.799   0.0179     5.55
0.934   0.0206     7.09
1.027   0.0287     8.62
1.110   0.0370    10.12
199800
11
-0.244   0.0278    -5.17
-0.107   0.0171    -3.64
0.164   0.0093    -0.85
0.189   0.0093    -0.60
0.361   0.0097     0.95
0.517   0.0097     2.47
0.678   0.0114     4.03
0.825   0.0133     5.57
0.956   0.0173     7.10
1.064   0.0233     8.64
1.160   0.0295    10.15
300100
11
-0.256   0.0260    -5.23
-0.097   0.0147    -3.53
0.027   0.0120    -2.22
0.194   0.0080    -0.54
0.355   0.0080     0.94
0.529   0.0084     2.53
0.686   0.0102     4.05
0.832   0.0122     5.56
0.967   0.0159     7.13
1.081   0.0204     8.62
1.183   0.0258    10.14
Airfoil: CR001
Builder: J. Robertson
Comment: clean
4
59200
11
-0.107   0.0443    -4.23
0.062   0.0272    -2.70
0.217   0.0208    -1.16
0.381   0.0215     0.38
0.562   0.0245     1.82
0.788   0.0297     3.48
0.975   0.0259     5.01
1.099   0.0264     6.55
1.202   0.0293     8.08
1.269   0.0385     9.59
1.318   0.0576    11.10
99100
11
-0.175   0.0488    -4.25
0.051   0.0237    -2.67
0.211   0.0194    -1.17
0.429   0.0181     0.39
0.650   0.0211     1.94
0.829   0.0186     3.49
0.963   0.0173     5.02
1.089   0.0185     6.56
1.191   0.0250     7.98
1.266   0.0332     9.59
1.302   0.0499    11.10
199000
11
-0.306   0.0763    -5.27
-0.050   0.0345    -3.75
0.174   0.0165    -2.17
0.407   0.0120    -0.62
0.579   0.0100     0.91
0.738   0.0102     2.49
0.887   0.0111     4.00
1.025   0.0129     5.53
1.146   0.0169     7.07
1.236   0.0234     8.60
1.297   0.0322    10.11
298800
11
-0.248   0.0702    -5.30
0.040   0.0262    -3.70
0.243   0.0128    -2.28
0.436   0.0083    -0.62
0.594   0.0073     0.95
0.753   0.0080     2.47
0.906   0.0095     4.03
1.042   0.0118     5.55
1.161   0.0156     7.10
1.258   0.0211     8.63
1.320   0.0294    10.13
Airfoil: DAVIS3R
Builder: H. Cole
Comment: multiple plain trips (h/c = 0.15%; w/c = 2.1%) @ x/c = 28.1%; 42.4%; 54.4%; 65.4%; 76.3%
5
40100
11
0.130   0.0484    -1.99
0.338   0.0380    -0.46
0.519   0.0348     1.08
0.693   0.0345     2.64
0.853   0.0433     4.18
0.989   0.0425     5.68
1.151   0.0314     7.23
1.210   0.0351     8.75
1.259   0.0493    10.26
1.327   0.0627    11.78
1.340   0.0980    13.28
59600
11
0.274   0.0456    -1.96
0.474   0.0321    -0.42
0.653   0.0263     1.12
0.818   0.0248     2.66
0.965   0.0270     4.20
1.109   0.0262     5.73
1.200   0.0289     7.26
1.254   0.0386     8.76
1.324   0.0508    10.28
1.384   0.0638    11.81
1.392   0.0990    13.29
99300
11
0.322   0.0331    -1.93
0.516   0.0230    -0.41
0.671   0.0185     1.12
0.824   0.0172     2.66
0.967   0.0185     4.18
1.096   0.0203     5.73
1.170   0.0301     7.25
1.240   0.0398     8.76
1.311   0.0507    10.28
1.362   0.0686    11.79
1.368   0.1030    13.25
198600
9
0.039   0.0542    -2.95
0.260   0.0346    -1.46
0.613   0.0164     0.14
0.781   0.0142     1.67
0.923   0.0152     3.03
1.070   0.0199     4.67
1.151   0.0275     6.10
1.240   0.0361     7.76
1.306   0.0477     9.27
297900
8
0.025   0.0594    -3.12
0.477   0.0227    -1.42
0.654   0.0165     0.10
0.823   0.0151     1.65
0.986   0.0165     3.19
1.098   0.0218     4.70
1.193   0.0290     6.27
1.270   0.0372     7.79
Airfoil: DU86
Builder: R. Adams
Comment: clean
4
59700
11
-0.480   0.0313    -5.77
-0.388   0.0232    -4.24
-0.295   0.0152    -2.74
-0.166   0.0158    -1.19
-0.039   0.0160     0.32
0.110   0.0210     1.88
0.340   0.0274     3.43
0.533   0.0230     4.96
0.648   0.0220     6.51
0.736   0.0342     8.03
0.815   0.0528     9.55
100000
11
-0.456   0.0299    -5.73
-0.345   0.0211    -4.22
-0.219   0.0152    -2.71
-0.105   0.0127    -1.18
0.071   0.0154     0.38
0.269   0.0178     1.92
0.479   0.0190     3.46
0.598   0.0156     5.00
0.715   0.0191     6.51
0.819   0.0306     8.04
0.909   0.0497     9.58
200600
11
-0.400   0.0230    -5.70
-0.257   0.0156    -4.21
-0.116   0.0120    -2.70
0.123   0.0114    -0.13
0.203   0.0121     0.39
0.334   0.0124     1.92
0.452   0.0114     3.47
0.600   0.0106     5.01
0.734   0.0171     6.56
0.848   0.0256     8.06
0.939   0.0435     9.59
300500
11
-0.415   0.0234    -5.69
-0.292   0.0158    -4.30
-0.129   0.0111    -2.59
0.084   0.0100     0.08
0.140   0.0099     0.40
0.303   0.0097     1.92
0.450   0.0087     3.47
0.590   0.0099     4.99
0.727   0.0156     6.52
0.846   0.0229     8.04
0.954   0.0426     9.60
Airfoil: E374B
Builder: M. Bame
Comment: clean
4
60100
17
-0.356   0.0343    -6.43
-0.311   0.0278    -5.43
-0.262   0.0229    -4.40
-0.203   0.0184    -3.39
-0.096   0.0185    -2.35
