Airfoil A18
Builder R. Cooney
Comment clean
0.020   0.0144    -1.24
0.170   0.0105     0.31
0.413   0.0132     1.81
0.578   0.0138     3.29
0.733   0.0144     5.07
0.843   0.0181     6.42
0.954   0.0289     8.24
1.013   0.0395     9.45
201900
10
-0.245   0.0176    -4.40
-0.115   0.0143    -2.83
0.038   0.0111    -1.45
0.223   0.0089    -0.03
0.411   0.0088     1.72
0.572   0.0096     3.30
0.703   0.0114     4.71
0.823   0.0151     6.14
0.925   0.0213     7.58
1.021   0.0343     9.24
302500
10
-0.273   0.0146    -4.68
-0.137   0.0141    -3.14
0.069   0.0085    -1.43
0.237   0.0078    -0.00
0.403   0.0069     1.61
0.589   0.0086     3.49
0.703   0.0105     4.78
0.824   0.0138     6.21
0.960   0.0214     8.00
1.038   0.0321     9.39
305400
1
-0.438   0.0695    -6.09
Airfoil MH45
Builder C. Fox
Comment clean
9
60900
10
-0.187   0.0181    -3.22
0.015   0.0185    -1.62
0.247   0.0216    -0.06
0.389   0.0283     1.45
0.534   0.0296     2.98
0.654   0.0272     4.50
0.794   0.0234     6.05
0.916   0.0248     7.58
1.018   0.0296     9.09
1.105   0.0372    10.64
61600
2
-0.452   0.0327    -6.20
-0.304   0.0209    -4.66
101100
11
-0.149   0.0123    -2.94
0.079   0.0131    -1.40
0.220   0.0165     0.16
0.338   0.0187     1.48
0.513   0.0170     3.34
0.648   0.0171     4.69
0.790   0.0191     6.18
0.916   0.0230     7.64
1.037   0.0281     9.28
1.112   0.0364    10.69
1.121   0.0430    12.36
102500
2
-0.473   0.0265    -6.11
-0.341   0.0177    -4.67
201900
11
-0.164   0.0122    -3.00
-0.047   0.0105    -1.64
0.148   0.0106    -0.04
0.304   0.0109     1.47
0.492   0.0115     3.22
0.650   0.0130     4.68
0.803   0.0151     6.14
0.948   0.0180     7.73
1.066   0.0231     9.27
1.144   0.0280    10.63
1.132   0.0416    12.27
204700
1
-0.326   0.0149    -4.63
204200
1
-0.493   0.0213    -6.17
302600
10
-0.174   0.0113    -2.92
-0.030   0.0094    -1.45
0.162   0.0086     0.14
0.314   0.0085     1.48
0.488   0.0094     3.03
0.648   0.0106     4.50
0.836   0.0127     6.28
0.968   0.0154     7.66
1.112   0.0198     9.36
1.182   0.0247    10.74
306500
2
-0.487   0.0194    -6.07
-0.345   0.0146    -4.50
Airfoil N6409
Builder H. Halsey
Comment clean
3
61000
6
-0.004   0.0623    -2.80
0.238   0.0373    -1.13
0.452   0.0363     0.26
0.650   0.0367     2.09
0.774   0.0399     3.33
0.923   0.0468     5.00
100700
9
0.194   0.0378    -2.68
0.433   0.0228    -1.00
0.563   0.0200     0.26
0.728   0.0188     1.98
0.861   0.0197     3.34
1.017   0.0213     5.09
1.145   0.0219     6.47
1.285   0.0227     8.12
1.410   0.0252     9.73
200600
10
0.282   0.0186    -2.89
0.435   0.0143    -1.37
0.601   0.0136     0.22
0.745   0.0125     1.67
0.908   0.0134     3.34
1.070   0.0142     4.97
1.258   0.0160     6.97
1.352   0.0174     8.11
1.457   0.0211    10.13
1.440   0.0277    11.33
Airfoil N64A
Builder B. Champine
Comment clean
4
61600
10
-0.555   0.0230    -6.06
-0.430   0.0175    -4.31
-0.322   0.0177    -2.72
-0.042   0.0191    -1.17
0.030   0.0113     0.32
0.142   0.0173     1.84
0.383   0.0162     3.18
0.515   0.0184     4.69
0.648   0.0270     6.51
0.736   0.0405     7.91
101600
10
-0.625   0.0244    -6.29
-0.496   0.0137    -4.28
-0.376   0.0133    -2.72
-0.216   0.0148    -1.22
-0.017   0.0099     0.12
0.216   0.0136     1.70
0.383   0.0132     3.37
0.479   0.0154     4.70
0.599   0.0259     6.40
0.687   0.0387     7.68
202900
10
-0.585   0.0167    -6.07
-0.472   0.0110    -4.39
-0.336   0.0097    -2.73
-0.149   0.0107    -1.10
-0.001   0.0110     0.08
0.183   0.0104     1.66
0.396   0.0102     3.43
0.487   0.0138     4.66
0.598   0.0189     6.09
0.721   0.0341     7.73
304400
10
-0.610   0.0156    -6.25
-0.464   0.0104    -4.27
-0.301   0.0087    -2.54
-0.085   0.0081    -0.87
0.031   0.0077     0.36
0.156   0.0079     1.68
0.363   0.0086     3.29
0.482   0.0122     4.64
0.608   0.0171     6.20
0.724   0.0309     7.76
Airfoil R140A
Builder W. Friedlander
Comment clean
4
101600
10
-0.446   0.0181    -4.02
-0.358   0.0183    -2.47
-0.065   0.0160    -0.91
0.171   0.0179     0.55
0.403   0.0191     2.14
0.508   0.0180     3.65
0.590   0.0151     4.99
0.652   0.0211     6.56
0.737   0.0311     8.26
0.797   0.0422     9.53
103000
1
-0.563   0.0253    -5.77
203000
11
-0.531   0.0203    -5.63
-0.419   0.0149    -4.07
-0.266   0.0105    -2.71
-0.090   0.0105    -0.96
0.023   0.0104     0.36
0.208   0.0120     2.02
0.462   0.0123     3.84
0.563   0.0162     5.13
0.627   0.0204     6.47
0.719   0.0298     8.29
0.796   0.0456     9.56
304400
11
-0.540   0.0194    -5.71
-0.348   0.0121    -3.85
-0.237   0.0096    -2.66
-0.046   0.0089    -0.44
0.043   0.0087     0.59
0.202   0.0089     2.13
0.359   0.0097     3.40
0.558   0.0155     5.11
0.629   0.0187     6.46
0.709   0.0263     8.05
0.814   0.0490     9.62
Airfoil RG15B
Builder B. Champine
Comment clean
5
61100
12
-0.487   0.0540    -6.86
-0.356   0.0286    -4.99
-0.251   0.0198    -3.58
-0.128   0.0153    -1.93
-0.009   0.0143    -0.34
0.166   0.0169     1.12
0.444   0.0176     2.76
0.595   0.0186     4.24
0.708   0.0197     5.66
0.830   0.0251     7.31
0.935   0.0327     8.86
0.997   0.0451    10.25
101200
12
-0.566   0.0390    -6.45
-0.407   0.0237    -4.97
-0.276   0.0149    -3.47
-0.195   0.0124    -2.04
-0.063   0.0123    -0.47
0.217   0.0157     1.10
0.408   0.0143     2.62
0.520   0.0149     4.10
0.659   0.0170     5.66
0.802   0.0223     7.23
0.895   0.0294     8.77
0.925   0.0466    10.28
151800
17
-0.425   0.0315    -6.07
-0.350   0.0219    -5.10
-0.270   0.0169    -4.13
-0.193   0.0137    -3.25
-0.090   0.0125    -2.02
-0.029   0.0120    -1.28
0.173   0.0106     0.04
0.301   0.0100     0.92
0.421   0.0103     2.01
0.511   0.0112     2.91
0.629   0.0117     4.07
0.727   0.0133     5.11
0.799   0.0156     5.95
0.899   0.0195     7.15
0.966   0.0223     8.20
1.008   0.0277     8.98
1.054   0.0378    10.00
202500
12
-0.424   0.0327    -6.46
-0.320   0.0183    -5.09
-0.188   0.0132    -3.53
-0.038   0.0113    -1.98
0.157   0.0093    -0.47
0.334   0.0089     1.13
0.495   0.0093     2.68
0.647   0.0107     4.20
0.789   0.0136     5.74
0.912   0.0177     7.27
1.003   0.0247     8.76
1.066   0.0385    10.31
302700
12
-0.458   0.0344    -6.49
-0.345   0.0157    -5.14
-0.209   0.0126    -3.66
-0.020   0.0091    -2.16
0.160   0.0083    -0.56
0.319   0.0074     0.94
0.501   0.0078     2.57
0.657   0.0094     4.06
0.802   0.0121     5.60
0.935   0.0150     7.16
1.043   0.0219     8.77
1.112   0.0344    10.36
Airfoil S1210
Builder M. Allen
Comment clean
7
101100
16
0.352   0.0307    -3.97
0.531   0.0257    -3.03
0.677   0.0228    -2.04
0.790   0.0256    -0.95
0.873   0.0250    -0.00
0.981   0.0280     1.09
1.074   0.0276     2.04
1.179   0.0286     3.10
1.270   0.0287     4.25
1.350   0.0309     5.22
1.449   0.0333     6.35
1.512   0.0343     7.16
1.607   0.0336     8.28
1.689   0.0345     9.39
1.740   0.0334    10.20
1.792   0.0336    11.22
100400
1
1.775   0.0398    12.29
150500
17
0.424   0.0217    -3.82
0.594   0.0161    -2.88
0.708   0.0162    -1.83
0.810   0.0170    -0.78
0.907   0.0189     0.21
1.024   0.0201     1.39
1.118   0.0208     2.33
1.195   0.0216     3.14
1.285   0.0221     4.14
1.384   0.0238     5.33
1.468   0.0252     6.35
1.548   0.0262     7.35
1.610   0.0268     8.17
1.706   0.0277     9.49
1.758   0.0287    10.32
1.794   0.0315    11.27
1.816   0.0375    12.31
200900
16
0.449   0.0188    -4.14
0.589   0.0140    -3.15
0.695   0.0138    -2.18
0.795   0.0148    -1.15
0.909   0.0158    -0.02
1.001   0.0165     0.92
1.106   0.0172     1.95
1.200   0.0180     2.94
1.299   0.0187     4.00
1.390   0.0190     5.10
1.485   0.0201     6.16
1.568   0.0211     7.16
1.646   0.0221     8.16
1.737   0.0236     9.37
1.793   0.0262    10.47
1.821   0.0317    11.66
250500
16
0.426   0.0170    -4.14
0.571   0.0128    -3.12
0.686   0.0125    -2.16
0.790   0.0135    -1.09
0.896   0.0145    -0.05
1.005   0.0150     1.01
1.110   0.0157     2.05
1.204   0.0163     3.02
1.306   0.0170     4.09
1.387   0.0170     5.03
1.483   0.0178     6.16
1.572   0.0187     7.19
1.651   0.0197     8.18
1.738   0.0213     9.41
1.779   0.0233    10.24
1.810   0.0278    11.28
247600
1
1.839   0.0337    12.30
300800
18
